,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
34,25,Male,Bachelor,144855.0,1.0,Rent,23095,Venture,6.62,0.22,2.0,586.0,Yes,0
35,26,Male,Bachelor,114645.0,2.0,Rent,23095,Homeimprovement,14.17,0.27,3.0,681.0,No,1
36,25,Female,High School,168663.5,3.0,Rent,23095,Debtconsolidation,13.85,0.07,3.0,567.0,Yes,0
37,26,Female,Associate,168663.5,1.0,Mortgage,7800,Medical,13.49,0.02,4.0,669.0,No,0
38,21,Male,Associate,15150.0,0.0,Own,2500,Education,7.51,0.17,4.0,600.0,No,1
39,22,Female,Bachelor,58868.0,0.0,Rent,23095,Education,18.39,0.37,2.0,606.0,No,1
40,24,Male,High School,78026.0,3.0,Rent,23095,Debtconsolidation,14.54,0.37,3.0,582.0,No,1
41,25,Male,Bachelor,90785.0,4.0,Rent,23095,Homeimprovement,16.89,0.33,4.0,649.0,No,1
42,23,Female,High School,86811.0,0.0,Rent,23095,Debtconsolidation,11.01,0.35,4.0,602.0,No,1
43,26,Male,Bachelor,75503.0,5.0,Rent,23095,Medical,17.99,0.37,2.0,616.0,No,1
44,24,Female,High School,15082.0,0.0,Own,2500,Venture,12.69,0.17,3.0,631.0,No,1
45,26,Male,Bachelor,168663.5,5.0,Mortgage,20000,Venture,7.88,0.06,4.0,684.0,Yes,0
46,23,Male,High School,168663.5,0.0,Own,23095,Education,19.41,0.07,2.0,637.0,Yes,0
47,26,Male,Master,168663.5,5.0,Own,10000,Homeimprovement,10.38,0.03,4.0,649.0,No,0
48,26,Male,Bachelor,168663.5,5.0,Mortgage,23095,Education,15.33,0.07,3.0,695.0,Yes,0
49,25,Female,Bachelor,168663.5,2.0,Mortgage,18000,Homeimprovement,16.45,0.05,3.0,620.0,No,0
50,26,Male,Bachelor,98230.0,2.0,Rent,23095,Personal,7.49,0.31,3.0,622.0,No,1
51,22,Female,High School,80838.0,0.0,Rent,23095,Medical,12.69,0.37,3.0,645.0,No,1
52,26,Male,Master,107957.0,2.0,Rent,23095,Debtconsolidation,6.62,0.28,3.0,654.0,No,1
53,24,Female,Bachelor,94649.0,2.0,Rent,23095,Debtconsolidation,11.01,0.32,4.0,624.0,No,1
54,23,Male,High School,94550.0,1.0,Rent,23095,Debtconsolidation,18.62,0.32,3.0,570.0,No,1
55,23,Male,Bachelor,111153.0,3.0,Rent,23095,Personal,15.23,0.27,3.0,648.0,No,1
56,23,Female,Associate,117250.0,0.0,Rent,23095,Venture,10.65,0.26,2.0,652.0,No,1
57,25,Male,Bachelor,144985.0,3.0,Rent,23095,Education,7.9,0.21,4.0,559.0,No,0
58,26,Male,High School,168663.5,7.0,Rent,10000,Personal,15.96,0.03,3.0,623.0,Yes,0
59,26,Male,Associate,168663.5,2.0,Rent,20000,Venture,11.48,0.06,3.0,602.0,Yes,0
60,23,Male,Bachelor,168663.5,1.0,Own,23095,Personal,11.01,0.1,4.0,609.0,No,0
61,25,Male,Master,154793.0,1.0,Rent,23095,Personal,7.29,0.19,4.0,573.0,Yes,0
62,24,Male,Associate,15229.0,1.0,Own,1750,Venture,11.01,0.11,3.0,631.0,Yes,0
63,21,Female,Bachelor,158338.0,0.0,Rent,23095,Venture,5.99,0.19,4.0,623.0,Yes,0
64,22,Female,Bachelor,168663.5,0.0,Own,12000,Venture,11.58,0.04,2.0,602.0,Yes,0
65,26,Female,High School,168663.5,6.0,Mortgage,10000,Education,11.01,0.03,4.0,579.0,No,1
66,25,Female,Associate,168663.5,0.0,Mortgage,23095,Medical,15.7,0.09,2.0,582.0,No,1
67,22,Male,Master,85191.0,0.0,Rent,23095,Education,15.99,0.34,3.0,700.0,No,1
68,22,Male,Associate,15013.0,0.0,Mortgage,1500,Education,14.84,0.1,3.0,688.0,No,0
69,26,Male,Bachelor,168663.5,3.0,Own,23095,Homeimprovement,10.99,0.09,3.0,607.0,Yes,0
70,25,Female,Bachelor,168663.5,0.0,Mortgage,20000,Homeimprovement,14.42,0.06,2.0,661.0,Yes,0
71,24,Male,High School,168663.5,5.0,Mortgage,9600,Education,6.99,0.03,2.0,562.0,Yes,0
72,25,Female,Bachelor,168663.5,0.0,Rent,23095,Medical,13.49,0.08,4.0,664.0,Yes,0
73,25,Male,High School,15162.0,1.0,Own,3000,Medical,11.01,0.2,3.0,564.0,No,1
74,22,Male,Associate,69042.0,0.0,Rent,23095,Medical,11.01,0.37,2.0,598.0,No,1
75,21,Female,High School,15307.0,0.0,Own,3000,Education,13.61,0.2,3.0,557.0,No,1
76,23,Female,Associate,79183.0,0.0,Rent,23095,Education,7.9,0.35,2.0,677.0,No,1
77,26,Male,Bachelor,102654.0,4.0,Rent,23095,Venture,7.49,0.27,3.0,690.0,No,1
78,26,Male,Associate,15229.0,1.0,Own,6100,Education,7.51,0.37,3.0,599.0,No,1
79,22,Male,High School,106566.0,0.0,Rent,23095,Venture,9.91,0.26,3.0,604.0,No,1
80,21,Female,Bachelor,15252.0,0.0,Own,4200,Personal,13.48,0.28,4.0,663.0,No,1
81,22,Male,Bachelor,15432.0,3.0,Own,4750,Debtconsolidation,7.14,0.31,2.0,601.0,No,1
82,24,Male,High School,100332.0,1.0,Rent,23095,Venture,15.99,0.28,4.0,634.0,No,1
83,24,Male,Bachelor,168663.5,2.0,Rent,18000,Education,12.98,0.06,3.0,671.0,No,0
84,39,Male,Bachelor,168663.5,18.5,Rent,4800,Venture,13.57,0.02,3.0,773.5,No,0
85,25,Female,Bachelor,121062.0,1.0,Rent,23095,Debtconsolidation,12.69,0.23,3.0,622.0,No,0
86,26,Male,Associate,133372.0,1.0,Rent,23095,Education,8.9,0.21,2.0,538.0,Yes,0
87,26,Male,Bachelor,15505.0,0.0,Own,2700,Debtconsolidation,11.01,0.17,4.0,587.0,No,1
88,22,Male,Master,130852.0,0.0,Rent,23095,Education,11.01,0.21,4.0,683.0,No,1
89,23,Male,Associate,168663.5,0.0,Rent,23095,Debtconsolidation,11.11,0.15,2.0,634.0,Yes,0
90,24,Female,Bachelor,83853.0,3.0,Rent,23095,Homeimprovement,11.01,0.33,2.0,690.0,No,1
91,21,Female,Bachelor,15394.0,0.0,Mortgage,3250,Debtconsolidation,15.68,0.21,3.0,518.0,No,1
92,22,Female,Bachelor,85243.0,0.0,Rent,23095,Education,13.06,0.32,3.0,583.0,No,1
93,22,Male,Associate,168663.5,2.0,Own,23095,Personal,11.01,0.09,2.0,617.0,Yes,0
94,26,Male,Associate,89074.0,4.0,Rent,23095,Venture,15.62,0.3,2.0,668.0,No,1
95,24,Male,Master,100509.0,2.0,Rent,23095,Personal,13.49,0.27,2.0,673.0,No,1
96,24,Male,High School,88950.0,3.0,Rent,23095,Venture,11.01,0.3,3.0,706.0,No,1
97,23,Female,High School,75894.0,1.0,Rent,23095,Medical,11.71,0.34,2.0,536.0,No,1
98,23,Male,Associate,145092.0,0.0,Rent,23095,Education,12.69,0.18,3.0,557.0,Yes,0
99,24,Female,Bachelor,15928.0,1.0,Own,1600,Medical,13.57,0.1,3.0,689.0,Yes,0
100,22,Male,Bachelor,73131.0,3.0,Rent,23095,Venture,10.99,0.35,3.0,681.0,No,1
101,25,Male,Master,168663.5,4.0,Mortgage,20000,Medical,14.27,0.07,4.0,623.0,Yes,0
102,24,Female,Associate,168663.5,0.0,Own,20000,Homeimprovement,8.88,0.07,4.0,595.0,Yes,0
103,26,Male,Bachelor,168663.5,1.0,Mortgage,21600,Homeimprovement,12.18,0.08,3.0,584.0,Yes,0
104,25,Male,Bachelor,168663.5,4.0,Mortgage,11900,Debtconsolidation,14.42,0.04,3.0,669.0,No,1
105,26,Male,High School,168663.5,3.0,Mortgage,23095,Medical,14.17,0.09,2.0,642.0,Yes,0
106,25,Female,High School,168663.5,4.0,Mortgage,23095,Medical,13.99,0.13,4.0,622.0,Yes,0
107,23,Male,Associate,100756.0,0.0,Rent,23095,Education,10.99,0.25,3.0,689.0,No,1
108,22,Male,High School,16218.0,1.0,Mortgage,2000,Personal,5.42,0.12,4.0,614.0,No,1
109,25,Female,Bachelor,16211.0,2.0,Own,1750,Personal,13.61,0.11,3.0,597.0,Yes,0
110,21,Female,Bachelor,51922.0,3.0,Rent,23095,Education,12.73,0.37,3.0,673.0,No,1
111,24,Male,Associate,50309.0,3.0,Rent,23095,Homeimprovement,11.01,0.37,3.0,625.0,No,1
112,25,Male,High School,16378.0,0.0,Own,3000,Debtconsolidation,12.87,0.18,4.0,603.0,No,1
113,24,Male,Bachelor,16572.0,0.0,Mortgage,3650,Homeimprovement,9.91,0.22,3.0,589.0,No,1
114,26,Male,Master,168663.5,5.0,Mortgage,20000,Homeimprovement,11.49,0.07,4.0,670.0,Yes,0
115,25,Female,Bachelor,168663.5,3.0,Mortgage,23095,Homeimprovement,19.59,0.11,2.0,637.0,Yes,0
116,26,Male,Associate,168663.5,2.0,Mortgage,23095,Education,10.65,0.14,2.0,643.0,No,1
117,24,Male,High School,168663.5,0.0,Rent,6000,Medical,11.01,0.02,4.0,508.0,Yes,0
118,24,Male,High School,16470.0,2.0,Mortgage,4500,Debtconsolidation,11.83,0.27,4.0,643.0,No,1
119,23,Male,High School,16599.0,0.0,Own,2400,Debtconsolidation,13.49,0.14,2.0,505.0,No,1
120,22,Male,Bachelor,51608.0,0.0,Rent,23095,Medical,14.59,0.37,2.0,593.0,No,1
121,26,Female,Master,58516.0,6.0,Rent,23095,Education,9.64,0.37,4.0,686.0,No,1
122,25,Female,Associate,16395.0,4.0,Own,3600,Medical,14.59,0.22,3.0,646.0,No,1
123,22,Female,Bachelor,16890.0,0.0,Own,4750,Education,11.01,0.28,3.0,645.0,No,1
124,25,Female,Associate,51747.0,3.0,Rent,23095,Education,16.35,0.37,3.0,697.0,No,1
125,21,Male,High School,59864.0,0.0,Rent,23095,Education,10.99,0.37,2.0,648.0,No,1
126,25,Male,Master,168663.5,1.0,Mortgage,23095,Venture,18.67,0.09,2.0,640.0,Yes,0
127,26,Male,Bachelor,168663.5,5.0,Rent,3000,Education,9.32,0.01,4.0,681.0,No,0
128,23,Female,Associate,168663.5,0.0,Rent,7500,Debtconsolidation,8.63,0.03,2.0,646.0,No,0
129,26,Male,Bachelor,168663.5,4.0,Mortgage,23095,Venture,10.08,0.09,2.0,615.0,Yes,0
130,22,Male,Associate,60501.0,0.0,Rent,23095,Personal,11.83,0.37,3.0,687.0,No,1
131,23,Male,High School,60754.0,1.0,Rent,23095,Debtconsolidation,7.9,0.37,3.0,650.0,No,1
132,25,Male,Bachelor,60829.0,0.0,Rent,23095,Homeimprovement,5.99,0.37,2.0,588.0,No,1
133,24,Male,Bachelor,53825.0,2.0,Rent,23095,Debtconsolidation,15.33,0.37,2.0,652.0,No,1
134,23,Male,High School,60801.0,0.0,Rent,23095,Venture,11.83,0.37,4.0,658.0,No,1
135,22,Male,High School,60747.0,0.0,Rent,23095,Venture,10.36,0.37,2.0,634.0,No,1
136,22,Female,High School,61029.0,0.0,Rent,23095,Venture,12.23,0.37,3.0,623.0,No,1
137,22,Female,Associate,63236.0,0.0,Rent,23095,Education,11.11,0.37,4.0,635.0,No,1
138,23,Female,Bachelor,17149.0,0.0,Own,4950,Debtconsolidation,7.9,0.29,4.0,531.0,No,1
139,24,Female,Master,168663.5,4.0,Mortgage,23095,Education,11.58,0.09,2.0,665.0,Yes,0
140,23,Male,Associate,168663.5,2.0,Mortgage,21000,Debtconsolidation,8.9,0.08,3.0,703.0,No,0
141,25,Female,Associate,168663.5,5.0,Mortgage,23095,Education,16.07,0.1,3.0,585.0,Yes,0
142,26,Female,Bachelor,168663.5,4.0,Mortgage,20000,Education,14.22,0.08,2.0,594.0,No,0
143,23,Male,Bachelor,168663.5,0.0,Mortgage,23095,Medical,14.79,0.14,3.0,618.0,Yes,0
144,26,Male,High School,168663.5,2.0,Mortgage,12000,Education,7.88,0.05,2.0,626.0,Yes,0
145,23,Male,High School,63497.0,0.0,Rent,23095,Personal,13.22,0.37,2.0,695.0,No,1
146,26,Female,Doctorate,56325.0,2.0,Rent,23095,Debtconsolidation,11.86,0.37,4.0,690.0,No,1
147,22,Male,Bachelor,64842.0,0.0,Rent,23095,Education,13.43,0.37,4.0,574.0,No,1
148,26,Female,High School,57856.0,0.0,Rent,23095,Homeimprovement,15.28,0.37,2.0,602.0,No,1
149,23,Male,Associate,57318.0,0.0,Rent,23095,Venture,17.93,0.37,2.0,679.0,No,1
150,23,Female,High School,16916.0,2.0,Mortgage,1400,Education,9.25,0.08,4.0,615.0,No,0
151,21,Male,Master,16664.0,0.0,Own,4500,Venture,12.98,0.27,4.0,601.0,No,1
152,22,Male,Associate,168663.5,0.0,Mortgage,16000,Venture,10.62,0.06,4.0,577.0,Yes,0
153,26,Female,Associate,168663.5,3.0,Own,22000,Personal,11.83,0.09,4.0,588.0,Yes,0
154,26,Male,Bachelor,58602.0,8.0,Rent,23095,Venture,18.43,0.37,2.0,595.0,No,1
155,22,Male,High School,67012.0,2.0,Rent,23095,Education,11.01,0.37,4.0,653.0,No,1
156,24,Female,Master,66643.0,3.0,Rent,23095,Homeimprovement,11.01,0.37,4.0,663.0,No,1
157,23,Male,Bachelor,66599.0,0.0,Rent,23095,Education,11.36,0.37,3.0,653.0,No,1
158,23,Male,Associate,67212.0,2.0,Rent,23095,Education,15.65,0.37,3.0,598.0,No,1
159,24,Female,High School,66918.0,1.0,Rent,23095,Personal,13.22,0.37,4.0,630.0,No,1
160,26,Male,Associate,68066.0,2.0,Rent,23095,Debtconsolidation,12.87,0.37,2.0,637.0,No,1
161,24,Male,Associate,168663.5,1.0,Own,20000,Medical,13.04,0.08,3.0,660.0,Yes,0
162,23,Male,Associate,168663.5,0.0,Mortgage,22000,Education,17.58,0.1,3.0,639.0,No,1
163,23,Male,High School,17859.0,0.0,Own,7750,Personal,17.04,0.37,4.0,626.0,No,1
164,24,Female,Associate,72608.0,3.0,Rent,23095,Personal,10.99,0.34,3.0,612.0,No,1
165,24,Male,Bachelor,73073.0,1.0,Rent,23095,Personal,11.11,0.34,3.0,628.0,No,1
166,26,Female,Master,65880.0,2.0,Rent,23095,Debtconsolidation,14.83,0.37,2.0,592.0,No,1
167,23,Male,High School,17755.0,1.0,Own,4000,Debtconsolidation,11.01,0.23,3.0,580.0,No,1
168,24,Male,Bachelor,168663.5,3.0,Rent,12000,Medical,12.69,0.05,2.0,634.0,No,0
169,24,Male,Associate,168663.5,3.0,Mortgage,12000,Homeimprovement,13.49,0.05,2.0,678.0,No,0
170,21,Male,High School,168663.5,0.0,Mortgage,16000,Education,14.65,0.07,4.0,557.0,Yes,0
171,25,Male,Bachelor,65742.0,3.0,Rent,23095,Homeimprovement,16.82,0.37,4.0,672.0,No,1
172,23,Male,Bachelor,72713.0,0.0,Rent,23095,Personal,12.73,0.34,3.0,613.0,No,1
173,23,Male,High School,72627.0,3.0,Rent,23095,Personal,10.25,0.34,4.0,566.0,No,1
174,21,Male,Associate,72843.0,0.0,Rent,23095,Education,10.99,0.34,4.0,718.0,No,1
175,25,Male,High School,75504.0,4.0,Rent,23095,Medical,12.73,0.33,2.0,497.5,No,1
176,22,Female,High School,68824.0,0.0,Rent,23095,Homeimprovement,14.96,0.36,3.0,634.0,No,1
177,23,Female,Bachelor,168663.5,2.0,Mortgage,23095,Education,11.01,0.12,2.0,653.0,Yes,0
178,21,Male,Bachelor,168663.5,0.0,Mortgage,23095,Debtconsolidation,13.99,0.1,2.0,699.0,No,0
179,24,Male,High School,168663.5,0.0,Mortgage,23095,Venture,7.49,0.1,4.0,656.0,Yes,0
180,26,Male,High School,168663.5,3.0,Mortgage,15000,Education,14.79,0.06,3.0,626.0,Yes,0
181,25,Male,High School,168663.5,2.0,Mortgage,15500,Debtconsolidation,11.99,0.06,2.0,659.0,No,0
182,24,Female,High School,168663.5,4.0,Rent,10000,Education,8.49,0.04,4.0,604.0,Yes,0
183,24,Male,Associate,80145.0,1.0,Rent,23095,Education,9.91,0.31,2.0,636.0,No,1
184,22,Male,Master,80303.0,0.0,Rent,23095,Education,13.06,0.31,3.0,554.0,No,1
185,22,Male,High School,168663.5,0.0,Mortgage,9000,Debtconsolidation,6.17,0.04,4.0,587.0,Yes,0
186,39,Male,Associate,168663.5,18.5,Mortgage,6000,Education,11.86,0.02,2.0,773.5,No,0
187,25,Male,Bachelor,168663.5,4.0,Rent,18000,Education,16.32,0.07,3.0,708.0,Yes,0
188,25,Female,Master,168663.5,2.0,Mortgage,12000,Venture,10.38,0.05,2.0,669.0,Yes,0
189,25,Male,Associate,168663.5,2.0,Mortgage,23050,Personal,14.35,0.1,3.0,578.0,No,0
190,24,Male,Bachelor,168663.5,5.0,Mortgage,20000,Debtconsolidation,11.01,0.08,3.0,615.0,No,0
191,24,Female,Master,72919.0,1.0,Rent,23095,Debtconsolidation,11.01,0.34,2.0,553.0,No,1
192,21,Male,Master,18008.0,0.0,Own,3000,Homeimprovement,11.01,0.17,4.0,635.0,No,1
193,26,Female,Associate,81238.0,3.0,Rent,23095,Personal,15.21,0.31,2.0,531.0,No,1
194,23,Male,High School,80868.0,1.0,Rent,23095,Education,7.9,0.31,4.0,621.0,No,1
195,24,Male,Bachelor,81537.0,1.0,Rent,23095,Venture,10.99,0.31,3.0,674.0,No,1
196,24,Female,Associate,82741.0,0.0,Rent,23095,Personal,14.09,0.3,3.0,688.0,No,1
197,25,Female,High School,83901.0,3.0,Rent,23095,Personal,17.49,0.3,2.0,597.0,No,1
198,25,Male,Associate,168663.5,1.0,Mortgage,12000,Education,11.48,0.05,3.0,640.0,No,0
199,26,Female,Associate,168663.5,0.0,Mortgage,20000,Venture,17.74,0.09,2.0,621.0,No,1
200,26,Female,Bachelor,168663.5,5.0,Mortgage,3000,Personal,13.92,0.01,3.0,608.0,Yes,0
201,25,Male,Bachelor,85284.0,3.0,Rent,23095,Education,15.21,0.29,3.0,653.0,No,1
202,22,Female,Bachelor,18152.0,0.0,Own,4000,Medical,10.99,0.22,3.0,585.0,No,1
203,24,Female,High School,84871.0,3.0,Rent,23095,Education,11.86,0.29,4.0,569.0,No,1
204,24,Male,Bachelor,18294.0,2.0,Own,6000,Personal,7.49,0.33,3.0,587.0,No,1
205,24,Male,Bachelor,68029.0,1.0,Rent,23095,Medical,16.49,0.37,4.0,631.0,No,1
206,25,Female,High School,80001.0,4.0,Rent,23095,Venture,15.33,0.31,2.0,592.0,No,1
207,26,Female,High School,79875.0,6.0,Rent,23095,Homeimprovement,11.58,0.31,4.0,679.0,No,1
208,25,Male,High School,18449.0,1.0,Own,5375,Education,5.79,0.29,2.0,645.0,No,1
209,25,Male,Associate,88153.0,0.0,Rent,23095,Medical,13.11,0.28,2.0,669.0,No,1
210,23,Female,Bachelor,90109.0,0.0,Rent,23095,Medical,10.36,0.28,3.0,653.0,No,1
211,25,Male,Bachelor,90938.0,1.0,Rent,23095,Debtconsolidation,10.36,0.27,2.0,577.0,No,1
212,24,Male,High School,168663.5,0.0,Rent,22000,Medical,11.01,0.1,2.0,668.0,Yes,0
213,21,Male,Bachelor,168663.5,0.0,Mortgage,20000,Venture,6.54,0.09,4.0,629.0,No,0
214,25,Female,Associate,168663.5,4.0,Mortgage,10000,Medical,12.53,0.04,4.0,643.0,No,0
215,26,Male,Bachelor,168663.5,0.0,Mortgage,15000,Personal,11.01,0.07,3.0,626.0,No,0
216,22,Male,Bachelor,168663.5,0.0,Mortgage,10000,Venture,11.01,0.04,3.0,560.0,Yes,0
217,24,Male,Bachelor,90938.0,0.0,Rent,23095,Education,10.25,0.27,4.0,648.0,No,1
218,22,Male,Associate,86284.0,0.0,Rent,23095,Education,15.95,0.29,4.0,648.0,No,1
219,26,Male,Associate,168663.5,3.0,Mortgage,20000,Venture,12.18,0.09,4.0,669.0,Yes,0
220,23,Male,High School,168663.5,2.0,Own,23095,Personal,11.83,0.1,3.0,536.0,Yes,0
221,23,Male,High School,94789.0,1.0,Rent,23095,Debtconsolidation,11.01,0.26,2.0,548.0,No,1
222,23,Female,Master,94780.0,0.0,Rent,23095,Venture,10.62,0.26,3.0,667.0,No,1
223,23,Male,High School,95298.0,0.0,Rent,23095,Venture,10.74,0.26,3.0,676.0,No,1
224,25,Male,Associate,168663.5,1.0,Own,10000,Venture,10.25,0.04,4.0,570.0,Yes,0
225,24,Male,High School,168663.5,0.0,Mortgage,23095,Education,12.42,0.16,2.0,623.0,No,0
226,25,Female,Bachelor,168663.5,2.0,Rent,15000,Venture,15.27,0.07,2.0,652.0,Yes,0
227,24,Female,High School,75240.0,1.0,Rent,23095,Medical,15.33,0.33,2.0,625.0,No,1
228,23,Female,High School,96143.0,1.0,Rent,23095,Venture,15.21,0.26,2.0,642.0,No,1
229,21,Male,Bachelor,18064.0,0.0,Own,6250,Venture,14.72,0.35,2.0,580.0,No,1
230,24,Male,Associate,96627.0,2.0,Rent,23095,Personal,15.7,0.26,2.0,622.0,No,1
231,24,Male,Bachelor,96309.0,3.0,Rent,23095,Education,13.35,0.26,4.0,581.0,No,1
232,21,Female,High School,18421.0,1.0,Mortgage,1500,Medical,11.01,0.08,4.0,623.0,No,0
233,24,Male,Master,96836.0,1.0,Rent,23095,Education,6.62,0.26,2.0,583.0,No,1
234,26,Male,Bachelor,96947.0,4.0,Rent,23095,Debtconsolidation,13.61,0.26,4.0,645.0,No,1
235,22,Female,Associate,168663.5,2.0,Rent,23095,Medical,11.36,0.11,2.0,593.0,Yes,0
236,26,Male,Associate,168663.5,3.0,Own,5000,Personal,7.68,0.02,2.0,659.0,Yes,0
237,24,Female,Bachelor,168663.5,0.0,Rent,22000,Homeimprovement,14.46,0.1,4.0,655.0,Yes,0
238,23,Male,Associate,168663.5,2.0,Own,2500,Education,11.83,0.01,2.0,583.0,Yes,0
239,24,Female,Associate,168663.5,0.0,Mortgage,20000,Debtconsolidation,13.47,0.1,4.0,582.0,No,1
240,24,Female,Bachelor,168663.5,1.0,Mortgage,20000,Medical,11.49,0.09,3.0,504.0,Yes,0
241,22,Male,High School,168663.5,0.0,Mortgage,1000,Education,11.01,0.0,2.0,551.0,Yes,0
242,25,Female,Associate,168663.5,1.0,Mortgage,15000,Personal,6.03,0.07,3.0,529.0,Yes,0
243,23,Female,Bachelor,89818.0,0.0,Rent,23095,Debtconsolidation,16.35,0.28,4.0,674.0,No,1
244,26,Female,High School,90006.0,4.0,Rent,23095,Debtconsolidation,11.01,0.28,4.0,595.0,No,1
245,25,Female,High School,98704.0,6.0,Rent,23095,Debtconsolidation,7.29,0.25,3.0,597.0,No,1
246,23,Male,High School,98967.0,5.0,Rent,23095,Medical,11.36,0.25,3.0,566.0,No,1
247,24,Male,High School,99435.0,3.0,Rent,23095,Venture,10.25,0.25,2.0,666.0,No,0
248,24,Female,Bachelor,100658.0,1.0,Rent,23095,Education,11.12,0.25,3.0,695.0,No,0
249,24,Female,Bachelor,100435.0,2.0,Rent,23095,Personal,12.92,0.25,3.0,576.0,Yes,0
250,24,Male,High School,168663.5,5.0,Rent,18000,Education,18.64,0.08,4.0,651.0,Yes,0
251,23,Female,Bachelor,168663.5,0.0,Mortgage,23095,Personal,7.51,0.13,3.0,633.0,Yes,0
252,23,Male,Master,18512.0,1.0,Own,4000,Homeimprovement,16.7,0.22,2.0,566.0,No,1
253,22,Male,Master,18367.0,0.0,Own,2100,Personal,11.14,0.11,4.0,583.0,No,0
254,22,Female,Associate,102317.0,0.0,Rent,23095,Personal,18.3,0.24,4.0,586.0,Yes,0
255,24,Female,Associate,103400.0,4.0,Rent,23095,Medical,10.62,0.24,4.0,592.0,Yes,0
256,24,Male,Bachelor,168663.5,2.0,Mortgage,14000,Venture,11.99,0.06,2.0,598.0,Yes,0
257,26,Male,Master,168663.5,1.0,Mortgage,12000,Venture,9.63,0.06,4.0,637.0,Yes,0
258,25,Female,High School,168663.5,5.0,Mortgage,10000,Medical,18.25,0.06,4.0,628.0,No,1
259,23,Male,Master,18831.0,0.0,Mortgage,6000,Debtconsolidation,11.01,0.32,4.0,667.0,No,1
260,24,Male,Associate,105349.0,5.0,Rent,23095,Homeimprovement,14.84,0.24,3.0,621.0,Yes,0
261,24,Male,Bachelor,91184.0,1.0,Rent,23095,Venture,14.7,0.27,3.0,668.0,No,1
